epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.846,1.68653,4.18438,1.92344,0.00904,1,0.27624,0.13499,0.84462,4.15728,1.32375,0,0,0
2,18.9061,1.56331,3.82607,1.65443,0.00884,1,0.27664,0.13534,0.81609,4.15684,1.30179,1.089e-05,1.089e-05,1.089e-05
3,25.1483,1.24644,4.03511,1.66534,0.00889,1,0.29597,0.15372,0.76657,4.12457,1.26022,2.13401e-05,2.13401e-05,2.13401e-05
4,31.6671,1.38397,3.88869,1.5883,0.00858,1,0.30744,0.1621,0.68123,4.13703,1.19712,3.13502e-05,3.13502e-05,3.13502e-05
5,37.6598,1.1532,4.10833,1.46971,0.00857,1,0.34852,0.20681,0.58595,4.08639,1.15677,4.09204e-05,4.09204e-05,4.09204e-05
6,44.0118,0.92681,3.73896,1.25048,0.00863,1,0.32562,0.20723,0.48508,4.03255,1.09364,5.00506e-05,5.00506e-05,5.00506e-05
7,49.8642,1.03674,3.76883,1.39875,0.00887,1,0.39946,0.2761,0.50481,4.0141,1.08628,5.87408e-05,5.87408e-05,5.87408e-05
8,55.8472,1.1323,3.90227,1.44981,0.00869,1,0.33437,0.23125,0.52567,4.02789,1.09902,6.69911e-05,6.69911e-05,6.69911e-05
9,62.0483,0.9482,3.87779,1.3181,0.00841,1,0.28915,0.22725,0.51735,4.04559,1.08894,7.48014e-05,7.48014e-05,7.48014e-05
10,68.3575,0.67376,3.46712,1.11519,0.00813,1,0.30548,0.25222,0.47863,4.01229,1.06585,8.21718e-05,8.21718e-05,8.21718e-05
11,74.4194,0.61423,3.40867,1.07717,0.00768,1,0.32095,0.27691,0.42751,3.95847,1.0239,8.91022e-05,8.91022e-05,8.91022e-05
12,80.3754,0.59446,3.22052,1.04674,0.00797,1,0.35684,0.31446,0.367,3.89682,0.96373,9.55927e-05,9.55927e-05,9.55927e-05
13,86.39,0.58903,3.34029,1.06405,0.00757,1,0.39046,0.35563,0.30679,3.8609,0.93113,0.000101643,0.000101643,0.000101643
14,92.5877,0.41898,3.15992,1.00034,0.0078,1,0.42071,0.38148,0.25905,3.83898,0.91467,0.000107254,0.000107254,0.000107254
15,98.552,0.54533,3.05809,0.9624,0.00807,1,0.52599,0.48701,0.23827,3.80798,0.90333,0.000112424,0.000112424,0.000112424
16,105.952,0.59226,2.82798,1.05079,0.00857,1,0.50388,0.48112,0.24128,3.78687,0.89977,0.000117155,0.000117155,0.000117155
17,112.458,0.60463,2.91195,1.03311,0.00894,1,0.46635,0.4519,0.24272,3.76431,0.89683,0.000121446,0.000121446,0.000121446
18,118.358,0.53705,2.6396,1.03584,0.00894,1,0.46635,0.4519,0.24272,3.76431,0.89683,0.000125296,0.000125296,0.000125296
19,124.931,0.58123,2.59214,1.08974,0.00975,1,0.45916,0.45336,0.24299,3.71629,0.8988,0.000128707,0.000128707,0.000128707
20,130.768,0.27963,2.6583,0.83046,0.00975,1,0.45916,0.45336,0.24299,3.71629,0.8988,0.000131678,0.000131678,0.000131678
21,137.027,0.53661,2.76827,0.97997,0.0109,1,0.51744,0.51124,0.24801,3.66975,0.9039,0.000134209,0.000134209,0.000134209
22,143.198,0.38115,2.6958,0.93089,0.0109,1,0.51744,0.51124,0.24801,3.66975,0.9039,0.0001363,0.0001363,0.0001363
23,148.988,0.63229,2.89137,1.20457,0.01166,1,0.53133,0.51431,0.25458,3.63171,0.90675,0.000137951,0.000137951,0.000137951
24,154.883,0.49757,2.21355,0.93128,0.01166,1,0.53133,0.51431,0.25458,3.63171,0.90675,0.000139162,0.000139162,0.000139162
25,160.154,0.48054,2.35719,1.0367,0.01264,1,0.59973,0.55736,0.27271,3.59268,0.9123,0.000139933,0.000139933,0.000139933
26,165.241,0.54113,2.98848,1.1205,0.01264,1,0.59973,0.55736,0.27271,3.59268,0.9123,0.000140264,0.000140264,0.000140264
27,170.691,0.48279,2.87681,0.99401,0.01441,1,0.6064,0.573,0.30246,3.56011,0.92367,0.000140155,0.000140155,0.000140155
28,176.066,0.47601,2.30133,1.0407,0.01441,1,0.6064,0.573,0.30246,3.56011,0.92367,0.000139606,0.000139606,0.000139606
29,181.19,0.41891,2.12773,0.94837,0.01467,1,0.63973,0.61155,0.3127,3.53307,0.93583,0.000138617,0.000138617,0.000138617
30,186.552,0.37898,2.32578,0.91351,0.01467,1,0.63973,0.61155,0.3127,3.53307,0.93583,0.000137189,0.000137189,0.000137189
31,191.756,0.49172,2.37922,1.05245,0.01611,1,0.6664,0.63655,0.30354,3.52154,0.93661,0.00013532,0.00013532,0.00013532
32,196.802,0.42022,2.06413,1.024,0.01611,1,0.6664,0.63655,0.30354,3.52154,0.93661,0.000133011,0.000133011,0.000133011
33,202.19,0.41533,1.57885,0.92017,0.01701,1,0.74923,0.73433,0.26954,3.49447,0.91995,0.000130263,0.000130263,0.000130263
34,207.401,0.41594,1.74039,0.94432,0.01701,1,0.74923,0.73433,0.26954,3.49447,0.91995,0.000127074,0.000127074,0.000127074
35,212.525,0.59881,1.97603,1.09193,0.01759,1,0.78257,0.77257,0.24809,3.46586,0.91026,0.000123445,0.000123445,0.000123445
36,217.87,0.56051,2.24504,1.09038,0.01759,1,0.78257,0.77257,0.24809,3.46586,0.91026,0.000119377,0.000119377,0.000119377
37,223.152,0.31444,1.86924,0.93813,0.01788,1,0.78478,0.77478,0.23679,3.43213,0.90583,0.000114869,0.000114869,0.000114869
38,228.263,0.48154,1.75419,1.07693,0.01788,1,0.78478,0.77478,0.23679,3.43213,0.90583,0.00010992,0.00010992,0.00010992
39,233.953,0.56806,1.67731,0.98661,0.01783,1,0.82917,0.81917,0.24109,3.38771,0.90822,0.000104532,0.000104532,0.000104532
40,239.2,0.33547,1.62082,0.89295,0.01783,1,0.82917,0.81917,0.24109,3.38771,0.90822,9.87035e-05,9.87035e-05,9.87035e-05
41,244.506,0.26203,1.85664,0.84047,0.01771,1,0.8358,0.8258,0.25001,3.34452,0.91094,9.24352e-05,9.24352e-05,9.24352e-05
42,249.839,0.31176,1.92953,0.8828,0.01771,1,0.8358,0.8258,0.25001,3.34452,0.91094,8.5727e-05,8.5727e-05,8.5727e-05
43,255.314,0.27296,1.89757,0.82446,0.01661,1,0.8955,0.8855,0.25008,3.3284,0.91015,7.85788e-05,7.85788e-05,7.85788e-05
44,260.504,0.34196,1.94352,0.92256,0.01661,1,0.8955,0.8855,0.25008,3.3284,0.91015,7.09907e-05,7.09907e-05,7.09907e-05
45,266.843,0.24783,1.95414,0.78321,0.01633,1,0.995,0.985,0.25146,3.30942,0.91389,6.29626e-05,6.29626e-05,6.29626e-05
46,272.732,0.30929,1.92089,0.83129,0.01633,1,0.995,0.985,0.25146,3.30942,0.91389,5.44945e-05,5.44945e-05,5.44945e-05
47,277.883,0.33774,1.91671,0.92318,0.01574,1,0.96167,0.9351,0.25392,3.2693,0.92346,4.55866e-05,4.55866e-05,4.55866e-05
48,283.489,0.28583,1.69588,0.88727,0.01574,1,0.96167,0.9351,0.25392,3.2693,0.92346,3.62386e-05,3.62386e-05,3.62386e-05
49,288.535,0.29558,1.77723,0.8229,0.01481,1,0.96167,0.9351,0.25759,3.2201,0.92875,2.64507e-05,2.64507e-05,2.64507e-05
50,293.619,0.27478,1.78289,0.80843,0.01481,1,0.96167,0.9351,0.25759,3.2201,0.92875,1.62228e-05,1.62228e-05,1.62228e-05
